question,response
You catch someone lying to you. Do you confront them immediately or let it go?,If I catch someone lying to me I will confront them immediately if we are in a private space and I am talking to him face to face. If we are discussing something in front of lot of people I will let it go and confront him later.
Someone criticizes your work harshly. Do you take it personally or use it as motivation?,It depends on who criticizes my work. If it is my manager I will take as a motivation if it is someone that has no relation to my work I will take personally because they don’t have to criticize something that they have no knowledge about.
"If your family were a TV show, what genre would it be (comedy, drama, adventure) and why?",I would chose comedy  because they are fun pleasant.
"When traveling, do you prefer quiet places or lively destinations?","Lively destination where chaos reigns, places like Istanbul."
What’s one principle or belief you’ll never compromise on?,To always be there for my family.
Are you more of a listener or a talker in conversations?,It depends on my mood but mos most  the time I am a listener.
"You’re in a heated argument, and the other person refuses to back down. How do you de-escalate?",I just don’t answer anymore and let it go.
How do you usually react to constructive criticism?,"I take it very personally. I am a perfectionist, and I can’t help but blame myself if I don’t do well. Even if the criticism is meant to help, I often feel disappointed in myself."
"If someone had to describe you with one sentence, what would they say?",Kind. I genuinely treat people with compassion.
"If you suddenly won a huge amount of money, what would you do first?","I will give some money to my family and close ones. Then, I will donate to charities that are important to me, especially orphanages."
Who was your childhood hero or role model?,My mother. She is a very strong person with a heart of gold. She is very empathetic and very intelligent.
"Would you say you think more in words, images, or emotions?",I think mostly in words. It feels like I am talking to myself in my mind. Words help me organize my ideas clearly and logically.
You’re given a leadership role in a project with a tight deadline. How do you organize the team?,I organize the team with people I can trust and mainly engineers. Because they have the sens of urgency and organization.
Your boss gives you credit for work that a colleague actually did. Do you correct them?,Yes I correct them because everyone deserve to have credits for their work.
How do you typically handle unexpected situations?,I usually take a step back and take a deep breath. Because with a calm mind I am more able to concentrate for unexpected situations and find solution faster.
"You’re in a competition, and you realize that cheating could guarantee you a win. Do you take the risk?",No I don’t cheat. It is dishonest. If I can’t win with my full abilities then I don’t deserve to win. If I want to win I will work harder.
You’ve been given a “reset” button for any part of your life. Would you use it? Why or why not?,No I won’t use it. I don’t have any regrets in my life and it is going exactly where I want it to go.
Do you prefer spending time alone or with others?,"I prefer spending time with people I love, but sometimes I need my alone time to recharge my battery."
Do you like people to speak directly to you or use more nuanced expressions?,"I am an honest person, so I would like for people to speak directly to me and say whatever they want to say."
"You work hard on a project, but someone else gets praised for it. How do you respond?",I hope he’s gonna be honest and say that I help him but if he’s not like it’s fine and I’ll get credit for another project and for my self-esteem I know that I did it.
Do you prefer structured activities or free-flowing creativity?,"It really depends like when I need to travel I organize myself before, but when I’m in that city or a place I’m visiting I like to do free flowing things."
You find out that a friend has been talking about you behind your back. What do you do?,I will go to talk to them or just not talk to them at all anymore.
"If your family were a TV show, what genre would it be (comedy, drama, adventure) and why?","Fuller House: Everyone gets involved in each other’s business, but always with good intentions and without judgment."
How do you handle stress or conflict?,"I don’t handle it very well. I am a very anxious person. In these situations, I try to take a moment for myself, reflect on the situation, and think about how to handle it peacefully."
"You’re offered a dream opportunity, but it means leaving behind something important. What do you choose?","I stay. There will always be new opportunities, but the important people I love are irreplaceable."
Do you prefer to talk about your emotions or process them internally?,I process them internally. It’s not easy for me to express my feelings. I prefer to deal with them on my own. I need time to process my emotions before talking about them.
How important is loyalty to you in relationships?,"Loyalty is really important to me. When I share my secrets and emotions, I need to feel safe. Trust is the foundation of any relationship."
"If you could instantly master any creative skill, what would it be?",I would love to know how to belly dance or sing.
"If you found a wallet full of money on the street with no ID, what would you do?",I would go to the closest police station and give it to them.
"A friend asks for your honest opinion on something, but you know the truth might hurt them. How do you respond?",I am an honest person so I would say the truth nicely.
"If your life was turned into a movie, what genre would it be and who would play you?",Comedy.
"Are you someone who enjoys deep thinking, or do you prefer action over contemplation?","I am a good mix of both, it depends on the situation is but sometimes I take directly action and sometimes I overthink a lot especially in more stressful situations."
What is the best way to cheer you up?,I love eating something sweat it makes me feel happier.
What is the best way to cheer yourself up?,I love eating something sweat it makes me feel happier.
How would you react if you saw someone being treated unfairly?,"If I see that he can’t stand for himself I will try to help him, but as I don’t know what is the context maybe I am the wrong one."
What would you do if you saw someone being treated unfairly?,"If I see that he can’t stand for himself I will try to help him, but as I don’t know what is the context maybe I am the wrong one."
What are some of the best moments in life?,"The time where I was truly proud of myself was deciding to do the GMAT exam for the 3rd time, because I wanted to success and get to my goal."
What are some of the best examples of self-expression?,"The time where I was truly proud of myself was deciding to do the GMAT exam for the 3rd time, because I wanted to success and get to my goal."
What is the best way to take care of a client?,"Question 4/5: If you had to take full responsibility for a failed group project, what would you say to the team."
What is the best way to take care of a team?,"Question 4/5: If you had to take full responsibility for a failed group project, what would you say to the team."
How do I respond to constructive criticism?,"I listen to them very carefully, ask questions and try to improve."
How do you respond to constructive criticism?,"I listen to them very carefully, ask questions and try to improve."
What are some of the most important values in life?,My 3 most important value in my life are family health and honesty.
What are the three most important values in life?,My 3 most important value in my life are family health and honesty.
What are some of the best movies in the world?,The movies I usually watch are comedy thriller and animation.
What are some of the best movies to watch?,The movies I usually watch are comedy thriller and animation.
Is it better to be organized or to be spontaneous?,I describe myself as organized at work I like schedule my task and control my time but in real life I am more spontaneous going with the flow and making last minute plans.
Is it better to be spontaneous?,I describe myself as organized at work I like schedule my task and control my time but in real life I am more spontaneous going with the flow and making last minute plans.
What are some of the best names for your family?,My family is generous lovely and caring.
What are some of the best names for a family?,My family is generous lovely and caring.
Is it a good idea to choose between personal gain or collective benefit?,I always prioritize collective benefits in a difficult situation.
Is it a good idea to choose between personal and collective benefits?,I always prioritize collective benefits in a difficult situation.
What is the best way to spend a day with your loved ones?,"If I had one day to do anything I wanted, I would start by waking up early and making myself a 
 cup of coffee to slowly enjoy alone while reading a book. Then, I would head to the beach to swim and tan. After that, I would take a nice shower before going to the beautician for a relaxing self-care session. For lunch, I would gather with my family to share a great meal and enjoy some quality time together. In the afternoon, I would take a peaceful nap to recharge. Finally, I would end the day with an aperitif, watching the sunset over the sea, with my closest friends."
What is the best way to spend a day with a stranger?,"If I had one day to do anything I wanted, I would start by waking up early and making myself a 
 cup of coffee to slowly enjoy alone while reading a book. Then, I would head to the beach to swim and tan. After that, I would take a nice shower before going to the beautician for a relaxing self-care session. For lunch, I would gather with my family to share a great meal and enjoy some quality time together. In the afternoon, I would take a peaceful nap to recharge. Finally, I would end the day with an aperitif, watching the sunset over the sea, with my closest friends."
"If you could have a dream vacation, where would you go?","For my dream family vacation, I would choose to go to Corsica, for its stunning landscapes and crystal-clear waters. We would stay in luxurious hotels to fully relax and enjoy the comfort. During the day, we would go on boat trips to explore hidden coves, admire the breathtaking coastline, and swim in the turquoise sea. Food would also be a big part of the experience, as we would indulge in delicious local cuisine and seafood. This trip would be the perfect mix of adventure, relaxation, and quality time."
What is your dream vacation?,"For my dream family vacation, I would choose to go to Corsica, for its stunning landscapes and crystal-clear waters. We would stay in luxurious hotels to fully relax and enjoy the comfort. During the day, we would go on boat trips to explore hidden coves, admire the breathtaking coastline, and swim in the turquoise sea. Food would also be a big part of the experience, as we would indulge in delicious local cuisine and seafood. This trip would be the perfect mix of adventure, relaxation, and quality time."
"Ancestors: If you could pass down one piece of advice to future generations of your family, what would it be?","If I could pass down one piece of advice to future generations of my family, it would be to always prioritize family over everything. Family is the foundation of love, support, and strength, and no matter what challenges life brings, they will always be there. True happiness comes from the bonds we create with our loved ones, the memories we share, and the unconditional support we give each other."
"Ancestors: If you could pass down one advice or value to future generations of your family, what would it be?","If I could pass down one piece of advice to future generations of my family, it would be to always prioritize family over everything. Family is the foundation of love, support, and strength, and no matter what challenges life brings, they will always be there. True happiness comes from the bonds we create with our loved ones, the memories we share, and the unconditional support we give each other."
What are some of the best examples of a person's life?,"when my best friend was diagnosed with cancer in her twenties. At that age, we rarely think about illness or death—we believe we have our whole lives ahead of us. Her battle made me realize how fragile and unpredictable life can be. It taught me the importance of truly enjoying every moment, not taking anything for granted, and surrounding myself with the right people. Life is too short to waste time on negativity or regrets; we should cherish our loved ones, and create meaningful memories."
What are some of the most interesting facts about a person?,"when my best friend was diagnosed with cancer in her twenties. At that age, we rarely think about illness or death—we believe we have our whole lives ahead of us. Her battle made me realize how fragile and unpredictable life can be. It taught me the importance of truly enjoying every moment, not taking anything for granted, and surrounding myself with the right people. Life is too short to waste time on negativity or regrets; we should cherish our loved ones, and create meaningful memories."
A vow is a vow. A vow is a vow. A vow is a vow.,"If there is someone to thank it would be my mother for her unconditional love and support. There are times when I may feel upset about things she says or does, but the truth is, she never deserves it. She is a true force of nature—strong, selfless, and always there for us no matter what. Her kindness and resilience inspire me every day, and I am deeply grateful for everything she has done. I would thank her for always believing in me, for her sacrifices, and for the immense love she gives without expecting anything in return."
A vow is a vow. A vow is a vow. An vow is a vow.,"If there is someone to thank it would be my mother for her unconditional love and support. There are times when I may feel upset about things she says or does, but the truth is, she never deserves it. She is a true force of nature—strong, selfless, and always there for us no matter what. Her kindness and resilience inspire me every day, and I am deeply grateful for everything she has done. I would thank her for always believing in me, for her sacrifices, and for the immense love she gives without expecting anything in return."
Is it a good idea to take a step back?,I handle very bad stress at first and usually cant do anything but after I pull my self together and organize myself to do all the tasks.
Is it better to take a step back and reflect?,I handle very bad stress at first and usually cant do anything but after I pull my self together and organize myself to do all the tasks.
What is the best way to make a good decision?,A mix of both is the best way to make décisions that you won’t regret.
What is the best way to make a decision?,A mix of both is the best way to make décisions that you won’t regret.
What is the most difficult thing you have ever done?,I think it s when i need to handle my anxiety. Sometimes it comes from nowhere and i start crying and can’t do anything. But now i feel way better and don’t have them very often.
What is the most difficult thing you have ever faced?,I think it s when i need to handle my anxiety. Sometimes it comes from nowhere and i start crying and can’t do anything. But now i feel way better and don’t have them very often.
What motivates you the most?,"My parents being proud of me achieving the goal, it’s the best thing ever."
What motivates you most when you are working on a goal?,"My parents being proud of me achieving the goal, it’s the best thing ever."
What are some of the best movies in the world?,"I love watching comedies, it make you feel safe and I also like watching actions movies."
What are some of the best movies to watch?,"I love watching comedies, it make you feel safe and I also like watching actions movies."
Is it a good idea to take a step back?,Under stress I prefer to take a step back to have time to think abut solution.
Is it better to take a step back and reflect?,Under stress I prefer to take a step back to have time to think abut solution.
Is there a time when I felt completely misunderstood?,Yes I already felt misunderstood.
Is there a time when you felt completely misunderstood?,Yes I already felt misunderstood.
What is the best way to describe a person?,People often use the word leader to describe me.
What are some of the best ways to describe yourself?,People often use the word leader to describe me.
Do you remember a game from your childhood that you still remember?,"Playing card is a game that I think about fondly. With all the technology nowadays, less and less people think about playing it."
What are some of the things you remember from your childhood?,"Playing card is a game that I think about fondly. With all the technology nowadays, less and less people think about playing it."
What would you do if you won a million dollars?,"If I won a huge amount of money , the first thing I do is take vacation."
What would you do if you won a lottery?,"If I won a huge amount of money , the first thing I do is take vacation."
Taking a Distinctive Distinctive Distinctive.,"I apologize and try to make up for it as best as I can. Sometimes I do too much, and it doesn’t really help."
Taking a Distinctive Distinctive Distinctive?,"I apologize and try to make up for it as best as I can. Sometimes I do too much, and it doesn’t really help."
What are some of the best ways to handle unexpected situations?,"As an overthinker, it’s not easy. I quickly start to stress. But I manage to pull myself together and be as practical as possible."
What are some of the best ways to handle an unexpected situation?,"As an overthinker, it’s not easy. I quickly start to stress. But I manage to pull myself together and be as practical as possible."
What is the role of a leader in a society?,"It depends on the context and the group of people in front of me. With my colleagues, I take on a leadership role to organize the team work. With higher-ups, I take on the role of an observer. With my friends, I take on the role of a mediator."
What is the role of a leader in a group?,"It depends on the context and the group of people in front of me. With my colleagues, I take on a leadership role to organize the team work. With higher-ups, I take on the role of an observer. With my friends, I take on the role of a mediator."
Is your family more traditional or open-minded?,Open-minded for an Arab family in Tunisia. We had a trusting relationship with our parents and could talk about anything.
Is your family more open-minded than others?,Open-minded for an Arab family in Tunisia. We had a trusting relationship with our parents and could talk about anything.
What is the first question you would ask to your future self?,What do you do for a living.
What is the first question you will ask to your future self?,What do you do for a living.
What is your family tradition?,"Each Sunday when I am back in my home country , all the family meets to eat at my grandmas and it’s so nice cause the food is amazing and you get to see your family."
What are some of your family traditions?,"Each Sunday when I am back in my home country , all the family meets to eat at my grandmas and it’s so nice cause the food is amazing and you get to see your family."
What are some of the best movies in the world?,I love watching comedies and actions movies.
What are some of the best movies to watch?,I love watching comedies and actions movies.
... Who would play you in a movie?,I would like to play a super hero that is there to help ppl around me.
.... Who would play you in a movie?,I would like to play a super hero that is there to help ppl around me.
Who are the most important people in our life?,It depends on the situations if I see my friend in a very bad situation I’ll help him out without any hesitation.
Who are the most important people in your life?,It depends on the situations if I see my friend in a very bad situation I’ll help him out without any hesitation.
What is the best way to cheer you up?,I love eating something sweet or going to the gym.
What is the best way to cheer yourself up?,I love eating something sweet or going to the gym.
Is it true that your friend just told you they failed?,"It’s okay to fail. You did your best, and that’s the most important thing. You should be proud of yourself for giving everything you got."
Is it true that your friend just told you that they failed?,"It’s okay to fail. You did your best, and that’s the most important thing. You should be proud of yourself for giving everything you got."
How do I respond to constructive criticism?,"I take it very personally. I am a perfectionist, and I can’t help but blame myself if I don’t do well. Even if the criticism is meant to help, I often feel disappointed in myself."
How do you respond to constructive criticism?,"I take it very personally. I am a perfectionist, and I can’t help but blame myself if I don’t do well. Even if the criticism is meant to help, I often feel disappointed in myself."
Is there a difference between a quiet and a lively place?,"It depends on the time of year. In summer, I like lively places with good restaurants, shopping and parties. In winter, I prefer quiet places such as the mountains to go skiing and to disconnect."
What is the difference between a quiet and a lively city?,"It depends on the time of year. In summer, I like lively places with good restaurants, shopping and parties. In winter, I prefer quiet places such as the mountains to go skiing and to disconnect."
What are some of the best TV shows to watch?,I really enjoyed the TV show called the rookie recently. It is about a 40 years old man who changed the course of his life and decided to become a cop. It is really inspiring.
What are some of your favorite TV shows?,I really enjoyed the TV show called the rookie recently. It is about a 40 years old man who changed the course of his life and decided to become a cop. It is really inspiring.
What are some of the best ways to handle unexpected situations?,I usually take a step back during an unexpected situation to have a global look on what is happening. Once I can see the main image I can think of a solution and take action.
What are some of the best ways to handle an unexpected situation?,I usually take a step back during an unexpected situation to have a global look on what is happening. Once I can see the main image I can think of a solution and take action.
What is the best way to show your love and appreciation to your family?,I really love my family and to show them that I usually use words. By telling them every time how much I care about them and when I have the chance I love to hug them. The physical contact is my love language.
What is the best way to show love and appreciation to your family?,I really love my family and to show them that I usually use words. By telling them every time how much I care about them and when I have the chance I love to hug them. The physical contact is my love language.
What is the most important thing in life?,"The memory of my parents dropping me at the tennis club for a whole day is what describes me the most. I enjoyed staying there and playing tennis whole day, talking to people and making new friends. It really describes my athlete and social side."
What is the best memory you have?,"The memory of my parents dropping me at the tennis club for a whole day is what describes me the most. I enjoyed staying there and playing tennis whole day, talking to people and making new friends. It really describes my athlete and social side."
How do you show your support to a friend?,"To show support to a friend going through a tough time, I stay physically with them. A physical presence always help a person to forget about the problem. I will probably cook something for him and make him something to drink and we will talk about everything, watch a movie, and do activities that takes his mind of things."
How do you show support to a friend in a tough time?,"To show support to a friend going through a tough time, I stay physically with them. A physical presence always help a person to forget about the problem. I will probably cook something for him and make him something to drink and we will talk about everything, watch a movie, and do activities that takes his mind of things."
How do you show your support to a friend?,"I show support by being there mentally and physically if I am in the same city as them. I’ll try to make them feel better, talk to them, do  some fun things."
How do you show support to a friend in a tough time?,"I show support by being there mentally and physically if I am in the same city as them. I’ll try to make them feel better, talk to them, do  some fun things."
What would you do if you won a million dollars?,I would offer gifts to my family and after plan a nice trip and enjoy it.
What would you do if you won a lottery?,I would offer gifts to my family and after plan a nice trip and enjoy it.
What makes you happiest?,I love eating and sleeping and spending time with my beloved ones.
What makes you happiest in life?,I love eating and sleeping and spending time with my beloved ones.
Is it better to be organized or to be spontaneous?,"It depends, I am usually very organized it makes me do more things and to handle my life."
Is it better to be spontaneous?,"It depends, I am usually very organized it makes me do more things and to handle my life."
What is it like to work as a team?,"I love working on a team, some parts I’ll try to do them in my own but in a team it is always better."
What is it like to work in a team?,"I love working on a team, some parts I’ll try to do them in my own but in a team it is always better."
Is it better to be organized or to be spontaneous?,I am usually more spontaneous. But it depends on the situation. When it is work I like to be organized but when it is about my social life I prefer to be spontaneous.
Is it better to be spontaneous?,I am usually more spontaneous. But it depends on the situation. When it is work I like to be organized but when it is about my social life I prefer to be spontaneous.
What is the most difficult thing you have ever done?,"The most difficult moment I have ever faced is when I came to Canada alone to live here. It was difficult because I went out from my comfort zone: no family, no friends and especially I didn’t know the city where I am going to live in. I overcame it by being myself and taking a step back when I am in front of an obstacle. I used my social skills and the fact that I am kind of crafty to be as comfortable as I am now."
What is the most difficult thing you have ever faced?,"The most difficult moment I have ever faced is when I came to Canada alone to live here. It was difficult because I went out from my comfort zone: no family, no friends and especially I didn’t know the city where I am going to live in. I overcame it by being myself and taking a step back when I am in front of an obstacle. I used my social skills and the fact that I am kind of crafty to be as comfortable as I am now."
What is the best advice you can give to your younger self?,One advice I could have gave to my younger self is to be more interessted with computer science and AI. It could open more doors for a brighter future.
What is the best advice you have given to your younger self?,One advice I could have gave to my younger self is to be more interessted with computer science and AI. It could open more doors for a brighter future.
What are some of the most important life lessons?,I trusted some people during my life that I shouldn’t trust. They abused my trust and they hurt me. So I learned how to analyze people and to know who deserves my trust and who don’t.
What is the most important thing you have ever done?,I trusted some people during my life that I shouldn’t trust. They abused my trust and they hurt me. So I learned how to analyze people and to know who deserves my trust and who don’t.
... Who would play you in a movie?,It would be a romantic comedy because those are my principal aspect of my life: fun and love. and it will be played by Leonardo di caprio.
.... Who would play you in a movie?,It would be a romantic comedy because those are my principal aspect of my life: fun and love. and it will be played by Leonardo di caprio.
Is it good to take a risk?,I prefer security. I am quite anxious and an overthinker. I don’t take risks unless they are well thought out.
Is it fun to take a risk?,I prefer security. I am quite anxious and an overthinker. I don’t take risks unless they are well thought out.
What do you value most in a relationship?,Friendship. Friends are the family you choose. They are part of my support system since childhood.
What do you value in a relationship?,Friendship. Friends are the family you choose. They are part of my support system since childhood.
Is there a superpower?,I would choose teleportation. It allow me to travel anywhere instantly. It would be fun to explore the world in a snap.
What are some superpowers?,I would choose teleportation. It allow me to travel anywhere instantly. It would be fun to explore the world in a snap.
What is the best way to cheer you up?,"Cleaning then having a long hot shower. And finally having a nice cup of tea, while watching my favorite movie."
What is the best way to cheer yourself up?,"Cleaning then having a long hot shower. And finally having a nice cup of tea, while watching my favorite movie."
What is the one thing you wish you could erase or redo?,"No, I don’t think so. I learned to accept things as they are."
What is the one thing you wish you could erase?,"No, I don’t think so. I learned to accept things as they are."
What motivates you the most?,when I want to achieve something it’s for my self esteem and make my parents happy. I like challenging myself to get to where I want.
What motivates you most when you are working on a goal?,when I want to achieve something it’s for my self esteem and make my parents happy. I like challenging myself to get to where I want.
Who are you? Who are you?,"I am a very  empathic person, so i usually care and get emotional about things."
Who are you and why?,"I am a very  empathic person, so i usually care and get emotional about things."
What is the best way to describe a person?,They will describe me as an honest and real person.
What are some of the best ways to describe yourself?,They will describe me as an honest and real person.
What are some of the best ways to handle unexpected situations?,"At first I stress a lot, I panick and when I calm down a bit later after I can try to solve the problem."
What are some of the best ways to handle an unexpected situation?,"At first I stress a lot, I panick and when I calm down a bit later after I can try to solve the problem."
What is it like to work as a team?,"I love working as a team, I think great people can make great things , it’s way more fun."
What is it like to work in a team?,"I love working as a team, I think great people can make great things , it’s way more fun."
What are some of the best names for your family?,"Love, support, trust."
What are some of the best names for a family?,"Love, support, trust."
What is the best way to describe a person?,Kind. I genuinely treat people with compassion.
What are some of the best ways to describe yourself?,Kind. I genuinely treat people with compassion.
What is something you learned from your parents that you still apply today?,Always respect everyone. No matter who they are.
What is something you learned from your parents or guardians?,Always respect everyone. No matter who they are.
Do you remember a game from your childhood that you still remember?,The activity that I think about fondly is Playing with the plastic guns and the fireworks with my cousins.
What are some of the things you remember from your childhood?,The activity that I think about fondly is Playing with the plastic guns and the fireworks with my cousins.
What is the most spontaneous thing you've ever done?,One day I woke up and went for a 2 days trip with my roommate to discover Quebec landscapes.
What is the most spontaneous thing you have ever done?,One day I woke up and went for a 2 days trip with my roommate to discover Quebec landscapes.
Is it true that success comes from hard work?,"I believe it’s a mix of both. You have to work hard. But i belive, even with talent and effort, sometimes opportunities come unexpectedly."
Is it true that success comes from hard work or luck?,"I believe it’s a mix of both. You have to work hard. But i belive, even with talent and effort, sometimes opportunities come unexpectedly."
What is the one thing you wish you could erase or redo?,I can’t really think about a moment that I wish erase or redo because I see everything that I lived as a life experience. I have no regrets and if I had a bad experience I would take a lessons out of it.
What is the one thing you wish you could erase?,I can’t really think about a moment that I wish erase or redo because I see everything that I lived as a life experience. I have no regrets and if I had a bad experience I would take a lessons out of it.
What is your favorite memory?,"Sunday lunch at my grandmother’s house. We always enjoy delicious food, and we laugh a lot. It’s a special time when we all come together. I will cherish those moments forever."
What are some of your favorite memories?,"Sunday lunch at my grandmother’s house. We always enjoy delicious food, and we laugh a lot. It’s a special time when we all come together. I will cherish those moments forever."
What is it like to work as a team?,When I manage important tasks I prefer to work alone because maganing a team on top of the important tasks is not time or effort efficient. I would ask for help if needed but if it is something that I can manage alone I will probably do it alone.
What is it like to work in a team?,When I manage important tasks I prefer to work alone because maganing a team on top of the important tasks is not time or effort efficient. I would ask for help if needed but if it is something that I can manage alone I will probably do it alone.
What are some of the most important facts about your life?,"I dont know, I still have a lot to discover and each day is a great day."
What is the most important thing in your life?,"I dont know, I still have a lot to discover and each day is a great day."
What are some of the most important things to do in a day?,"I think something funny like Friends , brooklyn 99."
What are some of the most important things to do in a single day?,"I think something funny like Friends , brooklyn 99."
How do I respond to constructive criticism?,I listen and after always ask question to understand better and try to améliorate whatever I am doing.
How do you respond to constructive criticism?,I listen and after always ask question to understand better and try to améliorate whatever I am doing.
What is the most spontaneous thing you've ever done?,Book a flight.
What is the most spontaneous thing you have ever done?,Book a flight.
What is your relationship to your family?,Very good. We talk about everything and call each other every day. We enjoy spending time together.
What is your relationship with your family?,Very good. We talk about everything and call each other every day. We enjoy spending time together.
What is the first memory you can remember?,The birth of my sister. Her crying every night.
What is the first memory you remember?,The birth of my sister. Her crying every night.
What is it like to work as a team?,"I prefer working in a team if tasks are clearly defined for everyone. However, I don’t like micromanagement."
What is it like to work in a team?,"I prefer working in a team if tasks are clearly defined for everyone. However, I don’t like micromanagement."
What is the best way to deal with stress?,"I usually handle them very bad , at first I panic and dont listen and after calming a bit down I will try to handle it in a better way."
What is the best way to cope with stress?,"I usually handle them very bad , at first I panic and dont listen and after calming a bit down I will try to handle it in a better way."
Is it a good idea to take a step back?,I usually act quickly.
Is it better to take a step back and reflect?,I usually act quickly.
A vow is a vow. A vow is a vow. A vow is a vow.,I would like to thank my parents for never letting me down and always supporting me.
A vow is a vow. A vow is a vow. An vow is a vow.,I would like to thank my parents for never letting me down and always supporting me.
Is it good to take a risk?,I like taking at risk but with some limits.
Is it fun to take a risk?,I like taking at risk but with some limits.
What is something you learned from your parents that you still apply today?,"Respect others, always have some values , think of others."
What is something you learned from your parents or guardians?,"Respect others, always have some values , think of others."
What is the difference between harmony and confrontation?,In disagreement I prefer harmony. It is easier to solve any problem in harmony that confrontation. When the mood is calm and everyone is able to communicate it makes the environment problem free.
"What is better, harmony or confrontation?",In disagreement I prefer harmony. It is easier to solve any problem in harmony that confrontation. When the mood is calm and everyone is able to communicate it makes the environment problem free.
What is your happiest memory?,"My happiest childhood memory is me playing with my cousins. We have a very good relationship and we grew up together as brothers and every time I think about the saturdays when we used to do nothing but play to everytwhole day (video games, soccer, tennis, …) it makes me happy."
What are some of your happiest memories?,"My happiest childhood memory is me playing with my cousins. We have a very good relationship and we grew up together as brothers and every time I think about the saturdays when we used to do nothing but play to everytwhole day (video games, soccer, tennis, …) it makes me happy."
Is it a good idea to take a step back?,Under stress I prefer to always take a step back. It helps me get a global vision on the stressful situation and it helps me find a solution.
Is it better to take a step back and reflect?,Under stress I prefer to always take a step back. It helps me get a global vision on the stressful situation and it helps me find a solution.
What are some of the funniest things you have ever experienced?,The crazy parties that I had with my friends when we students. These a super funny moment and every time we tells the story to each other we all laugh uncontrollably. Especially the house party we did at my friends house during covid when the police arrested 2 of us.
What are some of the funniest stories you have ever heard?,The crazy parties that I had with my friends when we students. These a super funny moment and every time we tells the story to each other we all laugh uncontrollably. Especially the house party we did at my friends house during covid when the police arrested 2 of us.
Is it true that you are closer to a loved one?,"I am very close with my sisters. Both of them. Because they represent my whole life, they can be my friends and parents at the same time. It is for me the true definition of unconditional love. I love them without needing anything from them and same thing on the other way around. We are always here for each other no matter what we have so many great souvenirs together and we are on our way to create so many more."
Is it true that you are closer to a person than a person?,"I am very close with my sisters. Both of them. Because they represent my whole life, they can be my friends and parents at the same time. It is for me the true definition of unconditional love. I love them without needing anything from them and same thing on the other way around. We are always here for each other no matter what we have so many great souvenirs together and we are on our way to create so many more."
What are some of the most important facts about your life?,"It would be the weekend with my friends in Hammamet. We were ten girls in the apparement. We spend the day swimming and the night dancing. It was the last weekend before we started working, so we felt completely free, with no worries or responsibilities. It was a moment of pure happiness and carefree. I would love to experience it again."
What is the most important thing in your life?,"It would be the weekend with my friends in Hammamet. We were ten girls in the apparement. We spend the day swimming and the night dancing. It was the last weekend before we started working, so we felt completely free, with no worries or responsibilities. It was a moment of pure happiness and carefree. I would love to experience it again."
How would you react if you saw someone being treated unfairly?,"It depends on the situation. If it is serious, I would try to step in and call the police. Otherwise, I would mind my own business and keep walking."
What would you do if you saw someone being treated unfairly?,"It depends on the situation. If it is serious, I would try to step in and call the police. Otherwise, I would mind my own business and keep walking."
What are some of the best TV shows to watch?,The office.
What are some of your favorite TV shows?,The office.
What kind of books do you enjoy reading?,"I love reading books written by middle eastern/north african writters, that are usually novels."
What kind of books do you like to read?,"I love reading books written by middle eastern/north african writters, that are usually novels."
Is there a superpower?,I would love to teletransportate myself.
What are some superpowers?,I would love to teletransportate myself.
A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.A.C.C,"It depends on the mood if I did it all by myself and they didn’t want to help me then I will tell them that it’s their fault but if they try to help with it, it’s because of my part that we got a bad grade that I’ll try to like I’ll just say sorry."
A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,"It depends on the mood if I did it all by myself and they didn’t want to help me then I will tell them that it’s their fault but if they try to help with it, it’s because of my part that we got a bad grade that I’ll try to like I’ll just say sorry."
What is the one thing you wish you could erase or redo?,"No, I am very grateful what I’ve lived so far and I hope I have a lot of more experiences to come."
What is the one thing you wish you could erase?,"No, I am very grateful what I’ve lived so far and I hope I have a lot of more experiences to come."
What is the most spontaneous thing you've ever done?,Quitting my job. I decided to write my resignation letter and send it without thinking too much about my next move.
What is the most spontaneous thing you have ever done?,Quitting my job. I decided to write my resignation letter and send it without thinking too much about my next move.
What makes you happiest?,"Being surrounded by the people I love: my family, my boyfriend, and my friends."
What makes you happiest in life?,"Being surrounded by the people I love: my family, my boyfriend, and my friends."
"Ancestors: If you could pass down one piece of advice to future generations of your family, what would it be?","Family is the foundation of love, support, and strength, and no matter what challenges life brings, they will always be there. Always prioritize family over everything."
"Ancestors: If you could pass down one advice or value to future generations of your family, what would it be?","Family is the foundation of love, support, and strength, and no matter what challenges life brings, they will always be there. Always prioritize family over everything."
How do you express your emotions?,I keep them inside. It’s not easy for me to express my feelings. I prefer to deal with them on my own. I need time to process my emotions before talking about them.
What is the best way to express emotions?,I keep them inside. It’s not easy for me to express my feelings. I prefer to deal with them on my own. I need time to process my emotions before talking about them.
Is there a way to change a person's identity?,No I wouldn’t use this button because I have no regrets on the choices that I made in my life. I wouldn’t reset anything.
